Team,year,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,finaly-16,final-8,final-4,final-2,champion,win
Los Angeles Lakers,1998,77,18630,2944,6156,0.478,471,1341,0.351,2473,4815,0.514,1761,2589,0.68,1010,2298,3308,1886,704,525,1150,1755,8120,Y,Y,Y,N,N,57
Seattle SuperSonics,1998,78,18795,2899,6128,0.473,592,1485,0.399,2307,4643,0.497,1466,2023,0.725,872,2125,2997,1897,754,367,1061,1714,7856,Y,Y,N,N,N,59
Utah Jazz,1998,77,18580,2797,5724,0.489,231,627,0.368,2566,5097,0.503,1926,2493,0.773,899,2265,3164,1935,606,387,1144,1839,7751,Y,Y,Y,Y,N,59
Minnesota Timberwolves,1998,77,18730,2959,6432,0.46,266,797,0.334,2693,5635,0.478,1567,2123,0.738,1007,2300,3307,1935,587,398,1043,1774,7751,Y,N,N,N,N,42
Houston Rockets,1998,78,18870,2807,6198,0.453,543,1575,0.345,2264,4623,0.49,1565,2029,0.771,946,2240,3186,1705,652,279,1186,1578,7722,Y,N,N,N,N,40
Phoenix Suns,1998,77,18755,2930,6312,0.464,394,1132,0.348,2536,5180,0.49,1360,1821,0.747,949,2315,3264,1966,702,404,1123,1661,7614,Y,N,N,N,N,53
New Jersey Nets,1998,76,18440,2803,6405,0.438,297,885,0.336,2506,5520,0.454,1609,2175,0.74,1246,1989,3235,1563,715,301,1040,1771,7512,Y,N,N,N,N,42
Washington Wizards,1998,77,18605,2888,6432,0.449,295,877,0.336,2593,5555,0.467,1403,2018,0.695,1080,2188,3268,1781,649,349,1037,1719,7474,N,N,N,N,N,38
Chicago Bulls,1998,77,18655,2894,6408,0.452,286,882,0.324,2608,5526,0.472,1388,1867,0.743,1185,2309,3494,1844,650,334,1037,1582,7462,Y,Y,Y,Y,Y,60
Charlotte Hornets,1998,77,18580,2770,5936,0.467,322,851,0.378,2448,5085,0.481,1567,2086,0.751,928,2209,3137,1810,655,294,1132,1653,7429,Y,Y,N,N,N,48
Los Angeles Clippers,1998,78,18820,2795,6359,0.44,504,1389,0.363,2291,4970,0.461,1430,1983,0.721,994,2159,3153,1452,594,437,1192,1745,7524,N,N,N,N,N,16
Boston Celtics,1998,77,18530,2831,6502,0.435,392,1182,0.332,2439,5320,0.458,1355,1855,0.73,1118,1922,3040,1704,937,348,1199,2074,7409,N,N,N,N,N,35
Vancouver Grizzlies,1998,76,18340,2776,6079,0.457,304,842,0.361,2472,5237,0.472,1449,1974,0.734,997,2155,3152,1826,555,326,1260,1698,7305,N,N,N,N,N,18
Atlanta Hawks,1998,77,18680,2711,5973,0.454,311,945,0.329,2400,5028,0.477,1649,2175,0.758,1032,2285,3317,1475,605,471,1093,1582,7382,Y,N,N,N,N,47
Indiana Pacers,1998,77,18630,2738,5851,0.468,379,970,0.391,2359,4881,0.483,1531,2008,0.762,827,2220,3047,1768,601,339,1039,1759,7386,Y,Y,Y,N,N,55
Miami Heat,1998,78,18795,2723,6028,0.452,528,1479,0.357,2195,4549,0.483,1466,1981,0.74,976,2294,3270,1678,642,416,1108,1878,7440,Y,N,N,N,N,55
Toronto Raptors,1998,77,18730,2802,6410,0.437,348,1026,0.339,2454,5384,0.456,1369,1909,0.717,1111,2001,3112,1658,732,606,1241,1744,7321,N,N,N,N,N,15
Portland Trail Blazers,1998,77,18605,2705,5992,0.451,302,978,0.309,2403,5014,0.479,1552,2118,0.733,1021,2370,3391,1642,541,439,1259,1762,7264,Y,N,N,N,N,44
Detroit Pistons,1998,78,18995,2719,6064,0.448,270,876,0.308,2449,5188,0.472,1631,2178,0.749,984,2229,3213,1509,644,321,1072,1723,7339,N,N,N,N,N,35
Milwaukee Bucks,1998,77,18730,2723,5993,0.454,224,631,0.355,2499,5362,0.466,1551,2017,0.769,968,2105,3073,1528,687,343,1247,1808,7221,N,N,N,N,N,35
Sacramento Kings,1998,78,18745,2817,6368,0.442,271,772,0.351,2546,5596,0.455,1395,2014,0.693,1046,2178,3224,1753,570,399,1155,1730,7300,N,N,N,N,N,27
Philadelphia 76ers,1998,78,18795,2693,6091,0.442,235,781,0.301,2458,5310,0.463,1654,2244,0.737,1063,2182,3245,1643,694,461,1222,1783,7275,N,N,N,N,N,30
San Antonio Spurs,1998,78,18870,2761,5879,0.47,284,803,0.354,2477,5076,0.488,1411,2042,0.691,935,2520,3455,1746,493,546,1224,1647,7217,Y,Y,N,N,N,53
Cleveland Cavaliers,1998,77,18630,2652,5853,0.453,281,752,0.374,2371,5101,0.465,1539,2041,0.754,899,2182,3081,1776,766,388,1273,1821,7124,Y,N,N,N,N,45
Dallas Mavericks,1998,78,18945,2733,6406,0.427,408,1139,0.358,2325,5267,0.441,1249,1666,0.75,953,2173,3126,1443,617,441,1061,1563,7123,N,N,N,N,N,20
New York Knicks,1998,78,18870,2707,6070,0.446,369,1096,0.337,2338,4974,0.47,1326,1722,0.77,926,2310,3236,1695,606,270,1151,1841,7109,Y,Y,N,N,N,42
Orlando Magic,1998,78,18870,2637,6173,0.427,282,869,0.325,2355,5304,0.444,1457,2004,0.727,1132,2091,3223,1613,618,423,1153,1538,7013,N,N,N,N,N,39
Denver Nuggets,1998,77,18530,2514,6031,0.417,260,812,0.32,2254,5219,0.432,1563,2029,0.77,989,2010,2999,1447,622,376,1145,1844,6851,N,N,N,N,N,10
Golden State Warriors,1998,77,18630,2665,6474,0.412,175,651,0.269,2490,5823,0.428,1259,1780,0.707,1220,2320,3540,1589,578,428,1244,1759,6764,N,N,N,N,N,16
Sacramento Kings,2000,76,18315,3040,6766,0.449,494,1545,0.32,2546,5221,0.488,1404,1853,0.758,992,2438,3430,1819,730,351,1192,1592,7978,Y,N,N,N,N,43
